,symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,horsepower-binned
0,3,0,alfa-romero,gas,std,two,convertible,rwd,front,88.6,0.8111484863046613,0.8865836791147994,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,5000.0,21,27,13495.0,Medium
1,3,0,alfa-romero,gas,std,two,convertible,rwd,front,88.6,0.8111484863046613,0.8865836791147994,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,5000.0,21,27,16500.0,Medium
2,1,0,alfa-romero,gas,std,two,hatchback,rwd,front,94.5,0.8226814031715521,0.9059474412171508,52.4,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154.0,5000.0,19,26,16500.0,High
3,2,164,audi,gas,std,four,sedan,fwd,front,99.8,0.8486304661220567,0.9156293222683265,54.3,2337,ohc,four,109,mpfi,3.19,3.4,10.0,102.0,5500.0,24,30,13950.0,Medium
4,2,164,audi,gas,std,four,sedan,4wd,front,99.4,0.8486304661220567,0.9183955739972338,54.3,2824,ohc,five,136,mpfi,3.19,3.4,8.0,115.0,5500.0,18,22,17450.0,Medium
5,2,0,audi,gas,std,two,sedan,fwd,front,99.8,0.8519942335415667,0.91701244813278,53.1,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19,25,15250.0,Medium
6,1,158,audi,gas,std,four,sedan,fwd,front,105.8,0.9259971167707832,0.9875518672199172,55.7,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19,25,17710.0,Medium
7,1,0,audi,gas,std,four,wagon,fwd,front,105.8,0.9259971167707832,0.9875518672199172,55.7,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19,25,18920.0,Medium
8,1,158,audi,gas,turbo,four,sedan,fwd,front,105.8,0.9259971167707832,0.9875518672199172,55.9,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140.0,5500.0,17,20,23875.0,Medium
9,0,0,audi,gas,turbo,two,hatchback,4wd,front,99.5,0.8563190773666506,0.9391424619640388,52.0,3053,ohc,five,131,mpfi,3.13,3.4,7.0,160.0,5500.0,16,22,0.0,High
10,2,192,bmw,gas,std,two,sedan,rwd,front,101.2,0.849591542527631,0.8962655601659751,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101.0,5800.0,23,29,16430.0,Medium
11,0,192,bmw,gas,std,four,sedan,rwd,front,101.2,0.849591542527631,0.8962655601659751,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101.0,5800.0,23,29,16925.0,Medium
12,0,188,bmw,gas,std,two,sedan,rwd,front,101.2,0.849591542527631,0.8962655601659751,54.3,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,21,28,20970.0,Medium
13,0,188,bmw,gas,std,four,sedan,rwd,front,101.2,0.849591542527631,0.8962655601659751,54.3,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,21,28,21105.0,Medium
14,1,0,bmw,gas,std,four,sedan,rwd,front,103.5,0.9082172032676598,0.9253112033195022,55.7,3055,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,20,25,24565.0,Medium
15,0,0,bmw,gas,std,four,sedan,rwd,front,103.5,0.9082172032676598,0.9253112033195022,55.7,3230,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,16,22,30760.0,High
16,0,0,bmw,gas,std,two,sedan,rwd,front,103.5,0.9312830370014417,0.9391424619640388,53.7,3380,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,16,22,41315.0,High
17,0,0,bmw,gas,std,four,sedan,rwd,front,110.0,0.9466602594906295,0.9806362378976488,56.3,3505,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,15,20,36880.0,High
18,2,121,chevrolet,gas,std,two,hatchback,fwd,front,88.4,0.6780394041326285,0.8340248962655602,53.2,1488,l,three,61,2bbl,2.91,3.03,9.5,48.0,5100.0,47,53,5151.0,Low
